date,value,event
01/01/23,Sunday,
02/01/23,No event,
03/01/23,No event,
04/01/23,Class Day,
05/01/23,Class Day,
06/01/23,Class Day,
07/01/23,Class Day,
08/01/23,Sunday,
09/01/23,Class Day,
10/01/23,Class Day,
11/01/23,Class Day,
12/01/23,Class Day,
13/01/23,Class Day,
14/01/23,Holiday,Bhogi
15/01/23,Holiday,Pongal/Sankranti
16/01/23,Class Day,
17/01/23,Class Day,
18/01/23,Class Day,
19/01/23,Class Day,
20/01/23,Class Day,
21/01/23,R&D Showcase,
22/01/23,R&D Showcase,
23/01/23,Class Day,
24/01/23,Class Day,
25/01/23,Class Day,
26/01/23,Holiday,Republic Day
27/01/23,Class Day,
28/01/23,Class Day,
29/01/23,Sunday,
30/01/23,Class Day,
31/01/23,Class Day,
01/02/23,Class Day,
02/02/23,Evaluation,Quiz 1
03/02/23,Evaluation,Quiz 1
04/02/23,Evaluation,Quiz 1
05/02/23,Sunday,
06/02/23,Class Day,
07/02/23,Class Day,
08/02/23,Class Day,
09/02/23,Class Day,
10/02/23,Class Day,
11/02/23,Class Day,
12/02/23,Sunday,
13/02/23,Class Day,
14/02/23,Class Day,
15/02/23,Class Day,
16/02/23,Class Day,
17/02/23,Class Day,
18/02/23,Holiday,Mahashivarathri
19/02/23,Sunday,
20/02/23,Class Day,
21/02/23,Class Day,
22/02/23,Class Day,
23/02/23,Class Day,
24/02/23,Class Day,
25/02/23,Class Day,
26/02/23,Sunday,
27/02/23,Evaluation,Mid Exams
28/02/23,Evaluation,Mid Exams
01/03/23,Evaluation,Mid Exams
02/03/23,Evaluation,Mid Exams
03/03/23,Class Day,
04/03/23,Class Day,
05/03/23,Sunday,
06/03/23,Class Day,
07/03/23,Holiday,Holi
08/03/23,Class Day,
09/03/23,Class Day,
10/03/23,Class Day,
11/03/23,Class Day,
12/03/23,Sunday,
13/03/23,Class Day,
14/03/23,Class Day,
15/03/23,Class Day,
16/03/23,Felicity,
17/03/23,Felicity,
18/03/23,Felicity,
19/03/23,Sunday,
20/03/23,Class Day,
21/03/23,Class Day,
22/03/23,Holiday,Ugadi
23/03/23,Class Day,
24/03/23,Class Day,
25/03/23,Research Events,White Friday
26/03/23,Research Events,White Friday
27/03/23,Research Events,White Friday
28/03/23,Research Events,White Friday
29/03/23,Research Events,White Friday
30/03/23,Research Events,White Friday
31/03/23,Research Events,White Friday
01/04/23,Class Day,
02/04/23,Sunday,
03/04/23,Evaluation,Quiz 2
04/04/23,Evaluation,Quiz 2
05/04/23,Evaluation,Quiz 2
06/04/23,Class Day,
07/04/23,Holiday,Good Friday
08/04/23,Class Day,
09/04/23,Sunday,
10/04/23,Class Day,
11/04/23,Class Day,
12/04/23,Class Day,
13/04/23,Class Day,
14/04/23,Class Day,
15/04/23,Class Day,
16/04/23,Sunday,
17/04/23,Class Day,
18/04/23,Class Day,
19/04/23,Class Day,
20/04/23,Class Day,
21/04/23,Class Day,
22/04/23,Holiday,Ramzan
23/04/23,Sunday,
24/04/23,Class Day,
25/04/23,Class Day,
26/04/23,Class Day,
27/04/23,Evaluation,Preparation for End Exams
28/04/23,Evaluation,End Exams
29/04/23,Evaluation,End Exams
30/04/23,Evaluation,End Exams
01/05/23,Evaluation,End Exams
02/05/23,Evaluation,End Exams
03/05/23,Evaluation,End Exams
04/05/23,Evaluation,End Exams
05/05/23,Evaluation,End Exams
06/05/23,Paper Checking,
07/05/23,Paper Checking,
08/05/23,Paper Checking,
09/05/23,No event,
10/05/23,No event,
11/05/23,No event,
12/05/23,No event,
13/05/23,No event,
14/05/23,Sunday,
15/05/23,Research Evaluation,Project Report Submission
16/05/23,No event,
17/05/23,No event,
18/05/23,No event,
19/05/23,Research Evaluation,Project Grade Due
20/05/23,No event,
21/05/23,No event,
22/05/23,No event,
23/05/23,Research Evaluation,Declaration of Results
24/05/23,No event,
25/05/23,No event,
26/05/23,No event,
27/05/23,Sunday,
28/05/23,No event,
29/05/23,No event,
30/05/23,No event,
31/05/23,No event,
