Day,Time,Course
Monday, 8:30 to 9:55, Computational Social Science
Monday, 8:30 to 9:55, Communication Theory
Monday, 8:30 to 9:55, Digital Signal Analysis
Monday, 8:30 to 9:55, Advanced Structural Analysis
Monday, 8:30 to 9:55, Research Methods in Human Science
Monday, 8:30 to 9:55, Data Systems
Monday, 8:30 to 9:55, Systems and Network Security
Monday, 10:00 to 11:25, Dass
Monday, 1:00 to 2:00,
Monday, 10:00 to 11:25, Disaster Management
Monday, 10:00 to 11:25, Hydro Informatics
Monday, 11:30 to 12:55, Biomolecular Structures, 
Monday, 11:30 to 12:55, Organic Chemistry
Monday, 11:30 to 12:55, NLP
Monday, 11:30 to 12:55, Coding Theory
Monday, 11:30 to 12:55, Particle Physics
Tuesday, 8:30 to 9:55, Algorithms Engineering
Tuesday, 8:30 to 9:55, Quantum
Tuesday, 8:30 to 9:55, Nonlinear Dynamics
Tuesday, 10:00 to 11:25, MDL
Tuesday, 10:00 to 11:25, Robotics
Tuesday, 10:00 to 11:25, MMT
Tuesday, 10:00 to 11:25, Spatial Data Sciences
Wednesday, 8:30 to 9:55, Data Foundation Systems
Wednesday, 8:30 to 9:55, DWS
Wednesday, 10:00 to 11:25, CG
Wednesday, 10:00 to 11:25, EW
Wednesday, 10:00 to 11:25, Science Lab
Wednesday, 1:00 to 2:00,
Thursday, 8:30 to 9:55, Computational Social Science
Thursday, 8:30 to 9:55, Communication Theory
Thursday, 8:30 to 9:55, Digital Signal Analysis
Thursday, 8:30 to 9:55, Advanced Structural Analysis
Thursday, 8:30 to 9:55, Research Methods in Human Science
Thursday, 8:30 to 9:55, Data Systems
Thursday, 8:30 to 9:55, Systems and Network Security
Thursday, 10:00 to 11:25, Dass
Thursday, 10:00 to 11:25, Disaster Management
Thursday, 10:00 to 11:25, Hydro Informatics
Thursday, 11:30 to 12:55, Biomolecular Structures, 
Thursday, 11:30 to 12:55, Organic Chemistry
Thursday, 11:30 to 12:55, NLP
Thursday, 11:30 to 12:55, Coding Theory
Thursday, 11:30 to 12:55, Particle Physics
Friday, 8:30 to 9:55, Algorithms Engineering
Friday, 8:30 to 9:55, Quantum
Friday, 8:30 to 9:55, Nonlinear Dynamics
Friday, 10:00 to 11:25, MDL
Friday, 10:00 to 11:25, Robotics
Friday, 10:00 to 11:25, MMT
Friday, 10:00 to 11:25, Spatial Data Sciences
Saturday, 8:30 to 9:55, Data Foundation Systems
Saturday, 8:30 to 9:55, DWS
Saturday, 10:00 to 11:25, CG
Saturday, 10:00 to 11:25, EW
Saturday, 10:00 to 11:25, Science Lab
